,Date,Price,Symbol,Volume RSI,Price RSI,20 SMA,50 SMA,(x) 20 SMA,(x) 50 SMA,50 EMA,200 EMA,(x) 50 EMA,(x) 200 EMA,50/200 MACD SMA,50/200 MACD EMA,BOLU,BOLD,(x) BOLU,(x) BOLD,Price Rate of Change,Stochastic Oscillator,Williams R,VIX,Index Dividend Yield,Index P/E,Index P/Book,1 Day Return,Gain/Loss Flag,Up/Down Indicator,7 Day Return,30 Day Return,90 Day Return
974,2019-11-19,49.939998626708984,ENB.TO,-0.7521610256124789,0.33128842891149607,-0.17065226511291953,-0.804614608309878,48.98799991607666,47.62380004882812,-0.9520966093484297,-1.4477418493089182,47.94448837622664,46.94383459208156,2.6896463212076744,2.1959424837294534,1.0864882765331252,0.912754577757761,51.20309682507336,46.6692360657551,-0.3782639204434357,-0.7288814175768514,0.7288814175768493,-0.9508841095023229,-1.8520820125001485,1.8234184375222207,1.8524852160853553,0.005606780170081649,-1,1.0,0.012214670146692752,0.03123751333979108,-0.20004001078259248
975,2019-11-20,50.220001220703125,ENB.TO,0.048231431236272264,-0.040346956450931615,-0.352750895730712,-0.9394249420142936,49.10749988555908,47.71500007629395,-1.1105955154579807,-1.5654556189817819,48.03372417404925,46.976433265003166,2.656439747750605,2.1630245268230603,0.8098073606743188,1.017982268160473,51.294446209841084,46.80288680814395,0.5131145413420474,-0.6964073639695492,0.6964073639695465,-0.9547686934208384,-1.5249695319762284,1.5796054574814984,1.6234990008250965,-0.0021903745057301194,1,-1.0,0.0015929513025270126,0.03265629927886837,-0.18399047100495924
976,2019-11-21,50.11000061035156,ENB.TO,0.5132890961518176,0.1724082748789508,-0.016612052169210145,-0.7701637186873166,49.221499824523924,47.80000007629395,-0.9248704440588845,-1.4506963965089248,48.115146779394436,47.007613039583745,2.6089037556049597,2.1243413109360003,1.1477099824822201,0.7492842969230574,51.36867868370526,46.95632093482501,1.1570602322339523,-0.9067921676650367,0.9067921676650333,-0.789358630301203,-1.216651278870105,1.3787239802795488,1.4127178310580095,-0.007982468988361524,-1,1.0,0.004789420491843943,0.030732406640784804,-0.22909597689896677
977,2019-11-22,49.709999084472656,ENB.TO,1.1251685958557038,0.3351425006271057,0.7249134601256336,-0.3336813687641575,49.324499702453615,47.87660003662109,-0.454823084205451,-1.1602786100711302,48.17769000704457,47.034502452965725,2.548638134408644,2.069675341748224,1.8292012861180622,0.14386769497990343,51.37963474056513,47.170031473424125,-1.0352835367584705,-1.485414345666095,1.4854143456660882,-1.098409916799447,-1.4724227560626775,1.4213526074432057,1.538527783599744,0.011265366799532606,-1,3.0,0.014886374815845205,0.046670684722439626,-0.2140414320178874
978,2019-11-25,50.27000045776367,ENB.TO,2.2045249972503047,0.46935598472505885,0.11859629853306435,-0.7586930669471641,49.44649963378906,47.955600051879884,-0.9252228326446862,-1.4684081010975245,48.25974139726885,47.06669646296372,2.4879197764543375,2.0408831332078328,0.9416660304308349,0.4783650199514657,51.423789262968235,47.35821019788788,0.6958694971692935,-0.7526888068174025,0.7526888068173986,-1.2607685899397219,-1.7016970290119346,1.690737708182452,1.8061575936875094,-0.004177423563962224,1,1.0,0.0035806704503018594,0.03660235002650958,-0.2122538668486269
979,2019-11-26,50.060001373291016,ENB.TO,1.752874944475185,0.717552041048496,0.6056382964369531,-0.4645798983358768,49.562499618530275,48.0242000579834,-0.6036150625648166,-1.279867584170547,48.33033982770109,47.09648059142469,2.407798091859099,2.0028129071259175,1.247741043187371,0.004792209071686825,51.41165382692676,47.61034565936068,-0.670842294804176,-1.038104755922034,1.03810475592203,-1.36886522276223,-1.9086301277408027,1.7285088144874297,1.8853103524726622,0.007990365565492263,-1,3.0,0.013383902328512054,0.04214935552878396,-0.19216944631796773
980,2019-11-27,50.459999084472656,ENB.TO,1.529920989988202,0.50009284415577,0.21469041029142458,-0.7833075519491612,49.68649959564209,48.09940002441406,-0.9336198737711324,-1.4889789677807956,48.413855876986254,47.12994843712666,2.3423536943389998,1.981073191320392,0.5290791082366432,0.12480104330336035,51.3886080297628,47.868724708477764,0.0341550546819659,-1.1801639705193991,1.180163970519394,-1.2556007599809946,-1.8361368986010815,1.8735993244753322,1.960702009387932,0.0017835940194375066,1,3.0,0.012683301650026513,0.04102258684862248,-0.219381686398615
1075,2020-04-15,40.0099983215332,ENB.TO,-2.7102054679731142,-0.9918798772584485,-0.6538075984087347,0.3597461685295711,39.0584997177124,46.18259986877442,0.22666966734087082,0.8119531356384024,44.074109501007754,47.50411029120266,-2.51114570188517,-1.8438993973010194,-0.5381448483060871,0.4203846819301234,43.04231705817156,35.277349232111646,-0.20423749365816854,-0.2766584526265718,0.276658452626571,0.17217173798546992,0.1417047566673853,0.8567333805973113,-0.3552849315213878,0.005248760509367401,-1,3.0,0.02899274921458317,0.11347165973470963,0.08372912845175873
1076,2020-04-16,40.220001220703125,ENB.TO,-2.7644880768765105,-1.3028620237833062,-0.6336720206057731,0.26506045854206867,39.364999771118164,45.89139991760254,0.14425453585424736,0.747199453147377,43.922967999819335,47.43163159398376,-2.46881623031415,-1.787860174103189,-0.6031396030324047,0.21836874054743977,42.794726817536045,36.06860605803362,-0.5634571094649378,0.43870379805970394,-0.43870379805970244,0.11719697619132734,0.08724351896613723,0.9995271398677843,-0.2821249439961417,0.026354985738988868,1,3.0,0.03555445703068982,0.11337636549465113,0.07011436124404247
1077,2020-04-17,41.279998779296875,ENB.TO,-2.1172240706948053,-0.5961131639000901,-0.8102132655818401,0.04109891420828451,39.62799968719482,45.60539985656738,-0.08435026929038746,0.5706779774896437,43.819322148034146,47.3704213172207,-2.42673073321418,-1.7236222466006839,-0.7736831043269502,0.2849449657303617,42.53103593490296,36.89896360733337,-0.15686271364607285,1.3158382634090513,-1.3158382634090475,0.002687427773160682,-0.18852461415458116,1.3620872045263936,-0.020084045520991627,0.0029070433655684624,1,3.0,0.03173453033017104,0.08381790216779761,0.0244671067368587
1078,2020-04-20,41.400001525878906,ENB.TO,-1.6917618358936288,-0.8994031457291961,-0.7880577672210908,-0.03967898755743169,39.84549980163574,45.31379989624023,-0.14024524924009085,0.5235615961392989,43.72444682951826,47.3110141551178,-2.3866110542145793,-1.6622084111676816,-0.784113043928504,0.22523796595932313,42.60606421248737,37.17826882584271,0.5527767671670581,1.3158382634090513,-1.3158382634090475,0.25753103080287304,-0.056092590969656284,1.1926198723836963,-0.13783862352125245,-0.03623188272257327,1,3.0,0.07173906513383432,0.08888889298410829,0.02826082429523491
1079,2020-04-21,39.900001525878906,ENB.TO,-2.0978233962529775,-1.1402073298489062,-0.40076548121811706,0.12550940566790633,40.116999816894534,44.98919990539551,0.09208982797203187,0.6955507535789818,43.57446858231672,47.2372727359214,-2.3569735759754793,-1.6193288960023953,-0.7056111891481137,-0.6902381725828411,41.781099392882915,38.48723366070595,-0.4465456264237075,-0.1303221454832479,0.1303221454832475,0.31366843881550127,0.19003700477659027,0.9043529981356178,-0.39351598737716115,0.01929816074234969,-1,3.0,0.06892230312864456,0.1245613337328404,0.06892230312864389
1080,2020-04-22,40.66999816894531,ENB.TO,-1.9880536580187491,-0.47210315579237816,-0.5625762444885597,-0.06422515693081232,40.18199977874756,44.66779983520508,-0.09062218568985385,0.5559396701381543,43.460567781792356,47.1719267203296,-2.3264233850445675,-1.57015378985106,-0.8182996367809435,-0.5342541536661438,41.67585066536383,38.80481568595453,-0.11161028260774489,0.5134888434860488,-0.5134888434860471,0.12393632432929098,-0.01600547165974572,1.1827009805285071,-0.1538732484454111,0.0,1,1.0,0.0329481242418912,0.08532090919425617,0.02606347236328177
1081,2020-04-23,40.66999816894531,ENB.TO,-2.0398345672092635,-0.3849800394032523,-0.5664134146654255,-0.13393842749579113,40.18649959564209,44.34339981079101,-0.1291203213742792,0.5236435154027493,43.351133679327766,47.10723091384816,-2.297040673038629,-1.523142285620985,-0.8275718664192767,-0.5301368233832134,41.622916442396395,38.81874984280055,-0.32500981284060715,0.3978009779236751,-0.3978009779236736,0.07352262635125993,-0.0710543899161774,1.2013669868013463,-0.13584409771382097,0.012294074809715339,-1,3.0,0.046471681569655754,0.1025326326871272,0.03540699548164272
1082,2020-04-24,41.16999816894531,ENB.TO,-1.5070525685239515,-0.38042517983910423,-0.6903416623270535,-0.2840708969747597,40.1479995727539,44.02419975280762,-0.25910484160947944,0.4220650705299674,43.26559895343041,47.04815397111282,-2.264417829031263,-1.4733451872068055,-0.9119664384199063,-0.3914062747285833,41.456571021323775,38.91542859212023,-0.3105773739053832,1.112840184795483,-1.1128401847954794,-0.22351897825529984,-0.20336877054928182,1.3930711066158905,-0.005236067733541725,0.011659057038668097,1,3.0,0.04590729386457304,0.10080159607607864,0.03279092418898033
1083,2020-04-27,41.650001525878906,ENB.TO,-1.139003472197785,-0.5438359909014558,-0.7674517060002789,-0.4257218830370402,40.28699970245361,43.7421997833252,-0.3815614998615443,0.3237569102998897,43.20224219156565,46.99444101145875,-2.2199713054009846,-1.4213930191258197,-0.9534848301328364,-0.25113172718741794,41.59568695942495,38.977646145026554,-0.4872638489278831,1.4379911439971782,-1.4379911439971735,-0.37992625839729494,-0.33605069303108037,1.5143576647074115,0.1553725259879548,0.02256899381203925,1,3.0,0.03889553115329902,0.06266498679556132,0.01056419233107575
1084,2020-04-28,42.59000015258789,ENB.TO,-1.2218173976094482,-0.27922646313428107,-0.9400579882473992,-0.6373832288295888,40.418999671936035,43.473399810791015,-0.5823041189861885,0.16105791670502861,43.17823269984103,46.95061572928093,-2.175187217945229,-1.3632646633225125,-1.0199649280468093,0.06093776307999813,41.9578485000918,38.944817846140296,-0.795911187417638,1.4038692211425141,-1.40386922114251,-0.3819123784543531,-0.31002797802353643,1.451899233141205,0.11297505567084151,0.04179381950973582,1,3.0,0.047663742005728205,0.011974602481944707,-0.03169754565119509
